type,salary,in_DC
block-chain,156000.0,False
block-chain,180000.0,False
block-chain,500000.0,False
block-chain,180000.0,False
block-chain,150000.0,False
block-chain,175000.0,False
block-chain,153400.0,False
block-chain,209099.0,False
block-chain,104500.0,False
block-chain,200000.0,False
block-chain,209099.0,False
block-chain,180000.0,False
block-chain,175000.0,False
block-chain,500000.0,False
block-chain,180000.0,False
block-chain,150000.0,False
data-scientist,156650.0,False
data-scientist,174080.0,False
data-scientist,132906.0,False
data-scientist,142600.0,False
data-scientist,175300.0,False
data-scientist,121000.0,False
data-scientist,106000.0,False
data-scientist,229400.0,False
data-scientist,220000.0,False
data-scientist,180250.0,False
data-scientist,166000.0,False
data-scientist,158445.0,False
data-scientist,137844.0,False
data-scientist,149280.0,False
data-scientist,152000.0,False
data-scientist,112500.0,False
data-scientist,121000.0,False
data-scientist,229400.0,False
natural-language-processing,150000.0,False
natural-language-processing,186000.0,False
natural-language-processing,186000.0,False
natural-language-processing,136644.5,False
natural-language-processing,136644.5,False
natural-language-processing,253000.0,False
natural-language-processing,253000.0,False
natural-language-processing,253000.0,False
natural-language-processing,136644.5,False
natural-language-processing,110700.0,False
natural-language-processing,136644.5,False
natural-language-processing,180900.0,False
natural-language-processing,150000.0,False
natural-language-processing,136644.5,False
reinforcement-learning,205757.14285714287,False
reinforcement-learning,218700.0,False
reinforcement-learning,135200.0,False
reinforcement-learning,285000.0,False
reinforcement-learning,159982.5,False
reinforcement-learning,159000.0,False
reinforcement-learning,180000.0,False
reinforcement-learning,158500.0,False
reinforcement-learning,203556.0,False
reinforcement-learning,164000.0,False
reinforcement-learning,186000.0,False
reinforcement-learning,186000.0,False
reinforcement-learning,219500.0,False
reinforcement-learning,219500.0,False
reinforcement-learning,159000.0,False
reinforcement-learning,285000.0,False
reinforcement-learning,180000.0,False
reinforcement-learning,203556.0,False
neural-networks,300000.0,False
neural-networks,160250.0,False
neural-networks,300000.0,False
neural-networks,238000.0,False
neural-networks,188000.0,False
neural-networks,175000.0,False
neural-networks,300000.0,False
neural-networks,186000.0,False
neural-networks,300000.0,False
neural-networks,238000.0,False
neural-networks,186000.0,False
neural-networks,160250.0,False
neural-networks,300000.0,False
neural-networks,175000.0,False
neural-networks,300000.0,False
neural-networks,188000.0,False
big-data-and-cloud-computing,400000.0,False
big-data-and-cloud-computing,176000.0,False
big-data-and-cloud-computing,176000.0,False
big-data-and-cloud-computing,147500.0,False
big-data-and-cloud-computing,147500.0,False
big-data-and-cloud-computing,147500.0,False
data-analyst,120000.0,False
data-analyst,124000.0,False
data-analyst,105000.0,False
data-analyst,158000.0,False
data-analyst,110000.0,False
data-analyst,129000.0,False
data-analyst,120000.0,False
machine-learning,222000.0,False
machine-learning,163333.33333333334,False
machine-learning,179875.0,False
machine-learning,196200.0,False
machine-learning,286250.0,False
machine-learning,207000.0,False
machine-learning,292511.1111111111,False
machine-learning,245000.0,False
machine-learning,192500.0,False
machine-learning,199700.0,False
machine-learning,207125.0,False
machine-learning,185000.0,False
machine-learning,257000.0,False
machine-learning,117660.0,False
machine-learning,179875.0,False
machine-learning,196200.0,False
machine-learning,174200.0,False
machine-learning,130000.0,False
machine-learning,212000.0,False
machine-learning,157175.0,False
machine-learning,174480.0,False
machine-learning,204833.3333333333,False
machine-learning,163333.33333333334,False
machine-learning,175000.0,False
machine-learning,192500.0,False
machine-learning,115000.0,False
machine-learning,186000.0,False
machine-learning,174200.0,False
machine-learning,150000.0,False
machine-learning,199700.0,False
machine-learning,196200.0,False
machine-learning,186000.0,False
machine-learning,215000.0,False
machine-learning,245000.0,False
deep-learning,207125.0,False
deep-learning,190000.0,False
deep-learning,207000.0,False
deep-learning,196200.0,False
deep-learning,150000.0,False
deep-learning,175000.0,False
deep-learning,186000.0,False
deep-learning,157175.0,False
deep-learning,250000.0,False
deep-learning,204000.0,False
deep-learning,207125.0,False
deep-learning,172500.0,False
deep-learning,175000.0,False
deep-learning,172020.0,False
deep-learning,254750.0,False
deep-learning,150000.0,False
deep-learning,207000.0,False
deep-learning,186000.0,False
deep-learning,285000.0,False
deep-learning,196200.0,False
deep-learning,215000.0,False
deep-learning,282220.0,False
deep-learning,215000.0,False
deep-learning,282220.0,False
block-chain,209000.0,True
block-chain,204600.0,True
block-chain,209000.0,True
block-chain,209000.0,True
natural-language-processing,182000.0,True
natural-language-processing,219000.0,True
natural-language-processing,219000.0,True
natural-language-processing,219000.0,True
natural-language-processing,219000.0,True
big-data-and-cloud-computing,135500.0,True
big-data-and-cloud-computing,186000.0,True
big-data-and-cloud-computing,135500.0,True
big-data-and-cloud-computing,135500.0,True
big-data-and-cloud-computing,135500.0,True
big-data-and-cloud-computing,186000.0,True
data-analyst,133000.0,True
data-analyst,141000.0,True
data-analyst,182000.0,True
data-analyst,125971.0,True
data-analyst,140000.0,True
data-analyst,142600.0,True
data-analyst,149537.5,True
machine-learning,236300.0,True
machine-learning,145500.0,True
machine-learning,225900.0,True
machine-learning,159165.0,True
machine-learning,104100.0,True
machine-learning,104100.0,True
machine-learning,211350.0,True
machine-learning,212000.0,True
machine-learning,204833.3333333333,True
reinforcement-learning,212000.0,True
reinforcement-learning,225900.0,True
reinforcement-learning,138000.0,True
reinforcement-learning,212000.0,True
neural-networks,138000.0,True
neural-networks,138000.0,True
deep-learning,225900.0,True
deep-learning,236300.0,True
deep-learning,138000.0,True
deep-learning,159165.0,True
deep-learning,212000.0,True
deep-learning,147100.0,True
deep-learning,212000.0,True
data-scientist,163500.0,True
data-scientist,166000.0,True
data-scientist,122500.0,True
data-scientist,166000.0,True
data-scientist,149275.0,True
data-scientist,127377.0,True
data-scientist,166000.0,True
data-scientist,125450.0,True
data-scientist,166000.0,True
data-scientist,212000.0,True
data-scientist,212000.0,True
data-scientist,130000.0,True
data-scientist,299293.5,True
data-scientist,166000.0,True
