title,company_name,location,via,longitude,latitude,company_freq,location_freq,via_freq
Blockchain Analyst,Allium,"  New York, NY   ",Jobs,-74.0060152,40.7127281,1,24,2
Full Stack Blockchain Engineer,geojam,"  Los Angeles, CA   ",AngelList,-118.242766,34.0536909,1,8,7
Blockchain Engineer - Apps Platform at Exodus in Remote,Exodus,"  Livermore, CA   ","Livermore, CA - Geebo",-121.768053,37.6820583,1,3,1
Blockchain Data Analytics: Tech Lead - Assistant Director 1,EY,"  New York, NY   ",EY Careers,-74.0060152,40.7127281,1,24,1
STI25526 Technical Architect Block Chain,Software Technology Inc.,"  Irving, TX   ",LinkedIn,-96.9442177,32.8295183,1,5,16
Blockchain & Digital Assets Manager,Deloitte,"  Mechanicsburg, PA   ",Deloitte Jobs,-77.0047276,40.2101972,3,1,3
Blockchain Engineer,Protochain Research,"  New York, NY   ",Jobs,-74.0060152,40.7127281,1,24,2
Sr. Data Scientist (NLP),MCKESSON,  Texas   ,Jobs At MCKESSON,-98.5456116,31.2638905,1,3,1
Sr Dir Data Science & Analytics,Northwestern Mutual,"  Milwaukee, WI   ",Northwestern Mutual Careers,-87.922497,43.0349931,1,1,1
Data Scientist Senior,CHRISTUS Health,"  Irving, TX   ",Christus Health Careers,-96.9442177,32.8295183,2,5,2
ESG Data Scientist,CBRE,"  Dallas, TX   ",Careers - CBRE,-96.7968559,32.7762719,1,4,1
Data Scientist,Mars,"  Chicago, IL   ","Careers At Mars - Mars, Incorporated",-87.6244212,41.8755616,1,11,1
Data Scientist,Parsons Corporation,"  Colorado Springs, CO   ",Parsons Corporation Jobs,-104.825348,38.8339578,1,2,1
Data Scientist - Natural Language Processing (REMOTE),Government Employees Insurance Company - GEICO,"  Chevy Chase, MD   ",Karkidi,-77.0849245,38.9813699,1,1,6
"Natural Language Processing and Data Analytics Manager (New York, NY)",CEDENT,"  New York, NY   ",ZipRecruiter,-74.0060152,40.7127281,1,24,21
"Senior AI/ML Ops Engineer, Deep Learning for Natural Language...",Covera Health,"  New York, NY   ",AngelList,-74.0060152,40.7127281,2,24,7
Natural Language Processing Engineer​/PhD,FuseMachines,"  Montreal, MO   ",Learn4Good.com,-92.5921247,37.9689254,1,1,1
"ISE, Input Experience - Software Engineer in Natural Language...",Apple,"  Cupertino, CA   ",Careers At Apple,-122.0322895,37.3228934,10,7,8
"AI Technology and Systems, Artificial Intelligence Researcher...",MIT Lincoln Laboratory,"  Lexington, MA   ",Jobs At MIT Lincoln Laboratory - Massachusetts Institute Of Technology,-71.2245003,42.4473175,2,2,2
Staff Machine Learning Software Engineer - Behavior Planning,Aurora Innovation,"  Seattle, WA   ",Aurora Innovation,-122.330062,47.6038321,1,7,1
"Senior Machine Learning Engineer (Modeling), Risk",Block,"  San Francisco, CA   ",SmartRecruiters Job Search,-122.419906,37.7790262,1,16,5
NLP Researcher-Reinforcement Learning Algorithms,Tencent Americas,  Washington   ,LinkedIn,-77.0365427,38.8950368,2,1,16
Sr. Software Engineer II/ Sr Machine Learning Engineer,Staples,  Texas   ,Staples Jobs,-98.5456116,31.2638905,1,3,1
Senior AI Scientist - Machine Learning for Biologics Engineering,10001252 - AI Science Specialist,"  Waltham, MA   ",AstraZeneca Careers,-71.2358004,42.3756401,1,1,1
Research Intern - Machine Learning,Microsoft,"  Redmond, WA   ",Microsoft Careers,-122.1238767,47.6694141,5,3,4
Senior Machine Learning and Perception Engineer,Teradyne,"  North Reading, MA   ",Teradyne Companies,-71.0786653,42.5750939,1,1,1
Machine Learning Internship,Got It AI,"  Palo Alto, CA   ",AngelList,-122.1598465,37.4443293,1,9,7
Hewlett Packard Labs - Machine Learning Research Scientist...,HPE1US,"  Milpitas, CA   ",HPE Careers,-121.8989248,37.4332273,1,2,1
Hewlett Packard Labs - Machine Learning Research Associate Intern,Hewlett Packard Enterprise,"  Milpitas, CA   ",Diversity.com,-121.8989248,37.4332273,1,2,1
"Cloud Design Engineer 2 (Baltimore, MD)",Orion Consortium,"  Crownsville, MD   ",Built In,-76.59026765175719,39.0197327,1,1,3
Senior Big Data / Web Services Engineer,SSI,"  Boston, MA   ",HackerX,-71.060511,42.3554334,1,4,1
Data Cloud Architect - GSI Partners,Snowflake Computing,"  San Mateo, CA   ",Employbl,-122.3330573,37.496904,1,3,2
Cloud Software Engineer,Base-2 Solutions,  Maryland   ,Base-2 Solutions - Talentify,-76.9382069,39.5162401,1,1,1
"Enterprise -  Senior Cloud Software Engineer - NiFi, JavaScript, Node","Erias Ventures, LLC","  Annapolis Junction, MD   ","Erias Ventures, LLC",-76.795323688298,39.12545965,2,12,1
Cloud Software Engineer 2 - Security Clearance Required,Raytheon Technologies,"  Annapolis, MD   ",FOX44 News Jobs,-76.492786,38.9786401,3,4,3
Sr Big Data Consultant - Nationwide opportunities,"Amazon Web Services, Inc.","  San Francisco, CA   ","San Francisco, CA - Geebo",-122.419906,37.7790262,2,16,2
Cloud Software Engineer HYBRID,Limitless Talent Solutions,"  Catonsville, MD   ",ZipRecruiter,-76.74554777654639,39.26099215,2,3,21
Cloud Software Engineer,"Base-2 Solutions, LLC","  Annapolis Junction, MD   ",Taleo Business Edition,-76.795323688298,39.12545965,1,12,1
"Cloud Software Engineer Level 3 (Baltimore, MD)",IntelliGenesis LLC,"  Columbia, MD   ",Built In,-76.86460919353361,39.1938429,1,1,3
Master Data Analyst,Cargill,"  Olathe, KS   ",Career At Cargill,-94.81887,38.8838856,1,2,1
Senior Data Analyst,Walmart,"  Bentonville, AR   ",Walmart Careers,-94.2088172,36.3728538,9,6,4
Provider Data Management Analyst II,Corporate,  Missouri   ,Centene - Centene Corporation,-92.5617875,38.7604815,3,2,3
"Analyst III, Technology Operations (Data Analyst)",Walmart,"  Rogers, AR   ",ZipRecruiter,-94.1185366,36.3320197,9,1,21
District Data Analyst,Nebraska State Government,"  Beatrice, NE   ",Government Jobs,-96.747369,40.266429,2,2,2
Principal Machine Learning Engineer,Informatica,"  Redwood City, CA   ",Careers At Informatica Gr8people,-122.232523,37.4863239,2,2,2
Machine Learning Technical Support,Johns Hopkins Applied Physics Laboratory,"  Laurel, MD   ",Jobs - Johns Hopkins University Applied Physics Laboratory,-76.8669233,39.1044123,2,2,2
"Manager, Product Management - Data Insights, Machine Learning",Capital One - US,"  Plano, TX   ",Capital One Careers,-96.6925096,33.0136764,1,2,1
Machine Learning Engineer,Oak Ridge National Laboratory,"  Oak Ridge, TN   ",ORNL Jobs - Oak Ridge National Laboratory,-84.2696449,36.0103562,4,4,4
Principal Machine Learning Scientist,Barrington James,"  San Francisco, CA   ",LinkedIn,-122.419906,37.7790262,1,16,16
Lead Data Engineer-Machine Learning,Wells Fargo,"  Irving, TX    ",Wellsfargojobs.com,-96.9442177,32.8295183,1,1,1
Machine Learning Engineer III,Expedia Group,"  Seattle, WA   ",Expedia Group - Talentify,-122.330062,47.6038321,2,7,2
"Senior AI Scientist, Artificial Intelligence/Machine Learning",Genentech,"  Bolinas, CA   ",WRBL Jobs,-122.6863733,37.9093702,3,1,2
"AIML - Staff Machine Learning Engineer, Data & ML Innovation",Apple,"  Cupertino, CA   ",Careers At Apple,-122.0322895,37.3228934,10,7,8
"Software Engineer, Machine Learning - Generative AI",Facebook,"  New York, NY   ",LocalJobs.com,-74.0060152,40.7127281,3,24,5
Senior Machine Learning Engineer- Pricing Strategy  ( 100% Remote),Hopper,"  Boston, MA   ",Lever,-71.060511,42.3554334,1,4,10
"Data Science Tech Lead, Machine Learning",DoorDash,"  San Francisco, CA   ",The Muse,-122.419906,37.7790262,1,16,2
"Lead Software Engineer, Machine Learning Platform",Chime,"  San Francisco, CA   ",Careers At Chime,-122.419906,37.7790262,1,16,1
Provider Data Management Analyst II,Corporate,  Missouri   ,Centene - Centene Corporation,-92.5617875,38.7604815,3,2,3
District Data Analyst,Nebraska State Government,"  Beatrice, NE   ",Government Jobs,-96.747369,40.266429,2,2,2
Staff Data Analyst - Data Ventures,Walmart,"  Bentonville, AR   ",ZipRecruiter,-94.2088172,36.3728538,9,6,21
Biostatistician / Data Analyst,Oklahoma Medical Research Foundation (OMRF),"  Oklahoma City, OK   ",Nature,-97.5170536,35.4729886,1,5,1
Data Analyst/Drilling Engineering Technician,Airswift,"  Oklahoma City, OK   ",Airswift,-97.5170536,35.4729886,2,5,2
Cloud Software Engineer (Hybrid),PerunHR,"  Catonsville, MD   ",Jobs By Workable,-76.74554777654639,39.26099215,1,3,4
"Technical Support Engineer (L5) - Data Platform, Big Data / Analytics",Netflix,"  Los Gatos, CA   ",Startup Jobs,-121.9746797,37.226611,1,1,6
Big Data Engineer,Kanini,"  Dearing, KS   ",Jooble,-95.713312,37.0586882,1,1,7
Big Data Architect,Open Systems Technologies,"  New York, NY   ",SmartRecruiters Job Search,-74.0060152,40.7127281,1,24,5
Cloud Design Engineer,Castaway Research,"  Annapolis Junction, MD   ",Castaway Research,-76.795323688298,39.12545965,1,12,1
65 Cloud Design Engineer 2 - Security Clearance Required,Arsiem Corporation,"  Annapolis Junction, MD   ",KLFY Jobs,-76.795323688298,39.12545965,2,12,2
Cloud Software Engineer Jobs,ManTech International,"  Hanover, MD   ",Clearance Jobs,-76.7241371,39.1928853,1,1,5
IC12CSWE3 - Sr. Level Cloud Software Engineer - Cleared,NiSUS Technologies Corporation,"  Annapolis Junction, MD   ",Monster,-76.795323688298,39.12545965,1,12,4
Cloud Software Engineer -TS/SCI with Poly,CACI,"  Fort Meade, MD   ",Indeed,-76.74651732045955,39.10319795,2,2,5
Research Scientist in Biomedical Natural Language Processing and...,Oak Ridge National Laboratory,"  Oak Ridge, TN   ",ORNL Jobs - Oak Ridge National Laboratory,-84.2696449,36.0103562,4,4,4
Natural language processing (NLP) / Artificial Intelligence (AI...,ASK Staffing,"  South San Francisco, CA   ",ASK Consulting,-122.4168664,37.6535403,2,5,2
Senior Natural Language Processing Researcher,Leidos,"  Arlington, VA   ",Leidos Careers,-77.0893094,38.8769326,2,1,1
Natural language processing (NLP) / Artificial Intelligence (AI...,TalentBurst,"  South San Francisco, CA   ",Dice,-122.4168664,37.6535403,1,5,4
Natural Language Processing Expert (NLP) - Fort Meade Area,Morfologica,"  Fort Meade, MD   ",ZipRecruiter,-76.74651732045955,39.10319795,1,2,21
Health Natural Language Processing Research Specialist,University of Michigan,"  Ann Arbor, MI   ",Ann Arbor MI Geebo.com Free Classifieds Ads - Geebo,-83.7312291,42.2681569,1,1,1
"ISE, Input Experience - Software Engineer in Natural Language...",Apple,"  Cupertino, CA   ",Careers At Apple,-122.0322895,37.3228934,10,7,8
Research Associate  in Natural Language Processing - Now Hiring,SRI International,"  San Diego, CA   ",Snagajob,-117.1627728,32.7174202,3,2,5
Data Scientist - Natural Language Processing (NLP),Federal Reserve Bank (FRB),"  Dallas, TX   ",Monster,-96.7968559,32.7762719,1,4,4
Research Intern - Deep Learning & Natural Language Processing,Microsoft,"  Redmond, WA   ",Microsoft Careers,-122.1238767,47.6694141,5,3,4
Blockchain Engineer,21.co,"  New York, NY   ",Greenhouse,-74.0060152,40.7127281,1,24,11
"Senior Principal, Product Manager (Technical, Blockchain/Digital...",BNY Mellon,"  New York, NY   ",Eightfold.ai,-74.0060152,40.7127281,1,24,1
Blockchain Security Lead,EigenLabs,"  Seattle, WA   ",Greenhouse,-122.330062,47.6038321,1,7,11
Blockchain Analyst,Crypto.com,"  Miami, FL   ",Simplify,-80.19362,25.7741728,2,2,2
Staff Data Scientist | Reinforcement Learning,Walmart Global Tech,"  Sunnyvale, CA   ",LinkedIn,-122.036349,37.3688301,2,4,16
"Research Scientist, Machine Learning",OpenAI,"  San Francisco, CA   ",Greenhouse,-122.419906,37.7790262,1,16,11
Applied Machine Learning Engineer,LLNL,"  Livermore, CA   ",SmartRecruiters Job Search,-121.768053,37.6820583,1,3,5
Research Intern – Reinforcement Learning,Microsoft,"  Berkeley, CA   ",JobzMall,-122.272863,37.8708393,5,1,1
"Research Scientist, AI and Machine Learning at the Edge",Oak Ridge National Laboratory,"  Oak Ridge, TN   ",ORNL Jobs - Oak Ridge National Laboratory,-84.2696449,36.0103562,4,4,4
Machine Learning Scientist,Arena AI,"  New York, NY   ",Greenhouse,-74.0060152,40.7127281,1,24,11
"A/AI Machine Learning Engineer / Littleton, CO",Lockheed Martin,"  Littleton, CO   ",Lockheed Martin Jobs,-105.016649,39.613321,3,3,1
Senior Software Engineer (Python / Deep Neural Networks),Jobot,"  Atlanta, GA   ",My ArkLaMiss Jobs,-84.3902644,33.7489924,2,4,1
Deep Learning Engineer,Matroid,"  Palo Alto, CA   ",AngelList,-122.1598465,37.4443293,1,9,7
Machine Learning Research Engineer,Peraton,"  Silver Spring, MD   ",Peraton - ICIMS,-77.02403709829767,38.9997621,1,1,1
Deep learning/Machine Learning developers,Netra,"  Boston, MA   ",AngelList,-71.060511,42.3554334,1,4,7
"AIML -Hardware Engineer, Neural Acceleration",Apple,"  Seattle, WA   ",Careers At Apple,-122.330062,47.6038321,10,7,8
Software Engineer - AI Machine Learning,Harsco Corporation,"  West Columbia, SC   ",SmartRecruiters Job Search,-81.0739826,33.9934867,1,1,5
Senior Deep Learning Tools Developer,Nvidia Corporation,"  Santa Clara, CA   ",ZipRecruiter,-121.6846349,37.2333253,1,4,21
Senior Autonomy Engineer - Deep Learning,Skydio,"  San Mateo, CA   ",Greenhouse,-122.3330573,37.496904,1,3,11
Sr. Deep Learning Engineer,Imagry,"  San Jose, CA   ",LinkedIn,-121.890591,37.3361663,2,7,16
Principal Machine Learning Engineer,Informatica,"  Redwood City, CA   ",Careers At Informatica Gr8people,-122.232523,37.4863239,2,2,2
Deep Learning Engineer,WayUp,"  Palo Alto, CA   ",JobLeads,-122.1598465,37.4443293,3,9,5
